identifier,type,id,construction/disused,latitude,longitude,operator,access,opening_hours,network,addr:street,addr:city,addr:postcode,addr:country,phone,website,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:tesla_destination,socket:tesla_destination:current,socket:tesla_destination:output,socket:tesla_destination:voltage,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:current,socket:tesla_supercharger_ccs:output,socket:tesla_supercharger_ccs:voltage,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage
ABF-00059;ABF-00060 -> ABF-00060,child_point,child/node/12580107716,no,37.090849763423776,-8.212117951642137,Powerdot,customers,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00061,unassigned_point,node/10948894573,no,37.1038104,-8.1938471,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
ABF-00062,unassigned_point,node/11577769934,no,37.0804499,-8.2873123,Iberdrola,customers,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0
ABF-00063;ABF-00064 -> ABF-00063,child_point,child/node/11261243472,no,37.090185399999996,-8.3237,Iberdrola,customers,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0
ABF-00063;ABF-00064 -> ABF-00064,child_point,child/node/12753075610,no,37.090185399999996,-8.3237,Iberdrola,customers,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0
ABF-00065,unassigned_point,node/11089368482,no,37.091454,-8.2381501,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00066;ABF-00068 -> ABF-00066,child_point,child/node/12752996997,no,37.08460405,-8.315177949999999,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00066;ABF-00068 -> ABF-00068,child_point,child/node/11043038722,no,37.08460405,-8.315177949999999,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00069 - AHETA,unassigned_point,node/11405384378,no,37.0986238,-8.2591163,EDP,private,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00070,unassigned_point,node/11695238830,no,37.0935182,-8.2323554,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00071,unassigned_point,node/11106031241,no,37.0908157,-8.050816,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00072,unassigned_point,node/11404287209,no,37.0872461,-8.3161906,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00073,unassigned_point,node/11293800150,no,37.0921,-8.2412222,Atlante,yes,08:00-22:00,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,150,60 kW,500
ABF-00074;ABF-00075 -> ABF-00074,child_point,child/node/11386507483,no,37.10095807308043,-8.228628486920428,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00074;ABF-00075 -> ABF-00075,child_point,child/node/12946978119,no,37.10095807308043,-8.228628486920428,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,7.4 kW,230,0,0,0,0,0,0,0,0
ABF-00076,unassigned_point,node/9108791143,yes,37.1244708,-8.3004493,KLC Serviços,yes,24/7,Mobi.E,,,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00077,unassigned_point,node/9108791144,yes,37.0931638,-8.187878,KLC Serviços,yes,24/7,Mobi.E,,,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00078,child_point,child/node/12621522724,yes,37.08880338859463,-8.25656808111191,KLC Serviços,yes,24/7,Mobi.E,,,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00079,unassigned_point,node/8851226359,yes,37.126149,-8.2376,KLC Serviços,yes,24/7,Mobi.E,,,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00080,unassigned_point,node/8851226360,yes,37.1754074,-8.2056065,KLC Serviços,yes,24/7,Mobi.E,,,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00081,unassigned_point,node/9108791142,yes,37.0836601,-8.3138574,KLC Serviços,yes,24/7,Mobi.E,,,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00082,unassigned_point,node/7133570877,yes,37.0908945,-8.2458749,KLC Serviços,yes,24/7,Mobi.E,Rua do Município,Albufeira,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00083,unassigned_point,node/7137133700,yes,37.0872155,-8.247617,KLC Serviços,yes,24/7,Mobi.E,Rua Manuel Bentes Junior,Albufeira,,PT,+351 800 202 060,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00084,unassigned_point,node/7070406263,yes,37.1177068,-8.245258,KLC Serviços,yes,24/7,Mobi.E,Zona Industrial de Vale Paraíso,Vale Paraíso,,PT,+351 800 202 060,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
ABF-00086/87 -> ABF-00086,child_point,child/node/12753031853,no,37.13020325,-8.283564700000001,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125,50 kW,500
ABF-00086/87 -> ABF-00087,child_point,child/node/11435879612,no,37.13020325,-8.283564700000001,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00089,unassigned_point,node/11748946631,no,37.0803442,-8.313537,Iberdrola,customers,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0
ABF-00093,unassigned_point,node/10870494272,no,37.1256451,-8.2369225,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00094,unassigned_point,node/12138494766,yes,37.1039984,-8.2345176,EDP,yes,09:00-21:00,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00095,unassigned_point,node/12282034071,no,37.1941755,-8.2222984,Iberdrola,yes,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0
ABF-00096,child_point,child/node/12530077195,no,37.08243513277523,-8.312380704941573,Logical Gravity,yes,08:00-21:00,Mobi.E,,,,PT,+351 210 939 606;+351 224 801 080,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00096 -> ABF-00097,child_point,child/node/13100593913,no,37.08243513277523,-8.312380704941573,Logical Gravity,yes,08:00-21:00,Mobi.E,,,,PT,+351 210 939 606;+351 224 801 080,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00098,unassigned_point,node/12626403414,no,37.0859053,-8.3092966,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ABF-00109,unassigned_point,node/12824185990,no,37.1264444,-8.23925,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ABF-00110/111 -> ABF-00110,child_point,child/node/12856229000,no,37.115542776568134,-8.247696337330819,High Green Power,yes,Tu-Su 11:30-22:30,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0
ABF-00110/111 -> ABF-00111,child_point,child/node/12856228999,no,37.115542776568134,-8.247696337330819,High Green Power,yes,Tu-Su 11:30-22:30,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0
ABF-00112,unassigned_point,node/7995646153,no,37.0952916,-8.2507888,Galp Power,yes,24/7,Mobi.E,,Albufeira,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ABF-00113,unassigned_point,node/12992180055,no,37.0939811,-8.1988202,Helexia II,customers,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00114/115 -> ABF-00114,child_point,child/node/12928790852,no,37.12582359682483,-8.23718722878043,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
ABF-00114/115 -> ABF-00115,child_point,child/node/12928790851,no,37.12582359682483,-8.23718722878043,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,200,60 kW,1000
ABF-00116;ABF-00117;ABF-00118 -> ABF-00116,child_point,child/node/13127614736,no,37.101748809813465,-8.261201307152673,Galp Power,customers,24/7,Mobi.E,,,,,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00116;ABF-00117;ABF-00118 -> ABF-00117,child_point,child/node/13127614737,no,37.101748809813465,-8.261201307152673,Galp Power,customers,24/7,Mobi.E,,,,,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00116;ABF-00117;ABF-00118 -> ABF-00118,child_point,child/node/13127614738,no,37.101748809813465,-8.261201307152673,Galp Power,customers,24/7,Mobi.E,,,,,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00120,unassigned_point,node/12060091338,no,37.123534,-8.232119,Cepsa,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,400,300 kW,1000
ABF-00123,unassigned_point,node/13274149810,no,37.085274,-8.316411,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00126,unassigned_point,node/13286071199,yes,37.1070721,-8.2387413,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00134,unassigned_point,node/13274149809,yes,37.0770629,-8.2791638,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00142,unassigned_point,node/13274149808,no,37.0766744,-8.282565,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00148,unassigned_point,node/13274149807,no,37.1269822,-8.2441674,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00150,unassigned_point,node/13271311922,yes,37.1257542,-8.3034898,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-90001,unassigned_point,node/7159237167,yes,37.0968299,-8.2245219,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-90007,child_point,child/node/12670330739,no,37.08567581357677,-8.266249849711848,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-?????,unassigned_point,node/12697471125,yes,37.1278921,-8.2787789,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,50 kW,1000
ABF-?????,unassigned_point,node/12697471126,yes,37.1278916,-8.2787173,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
ABF-?????,unassigned_point,node/12697471127,yes,37.1278921,-8.2786455,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
ABF-?????,unassigned_point,node/12697471128,yes,37.1277429,-8.2785228,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,50 kW,1000
ABF-?????,unassigned_point,node/12697471129,yes,37.127783,-8.2785235,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,50 kW,1000
ABF-?????,unassigned_point,node/12697471130,yes,37.1278215,-8.2785214,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
ABF-?????,unassigned_point,node/12697471131,yes,37.1278643,-8.2785181,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
ABF-?????,unassigned_point,node/12697471132,yes,37.1279012,-8.2785188,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
ABF-?????,unassigned_point,node/12697471133,yes,37.1279472,-8.2785194,Charging Together,yes,24/7,Mobi.E,,,,PT,+351 800 917 576,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,150 kW,1000
ABT-00001,unassigned_point,node/8109548023,no,39.4595115,-8.1989559,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABT-00006,unassigned_point,node/9788601724,no,39.4755802,-8.1906088,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,90 kW,1000
ABT-00012,unassigned_point,node/12728580828,no,39.4758979,-8.1923368,Galp Power,yes,08:30-21:00,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABT-00013,unassigned_point,node/10022775163,no,39.4758491,-8.1924349,Galp Power,yes,08:30-21:00,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABT-00017,unassigned_point,node/10691892690,no,39.4861743,-8.1588029,Cepsa,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,100 kW,1000
