identifier,type,id,construction/disused,latitude,longitude,operator,access,opening_hours,network,addr:street,addr:city,addr:postcode,addr:country,phone,website,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:tesla_destination,socket:tesla_destination:current,socket:tesla_destination:output,socket:tesla_destination:voltage,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:current,socket:tesla_supercharger_ccs:output,socket:tesla_supercharger_ccs:voltage,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage
ABF-00086/87 -> ABF-00086,child_point,child/node/12753031853,no,37.13020325,-8.283564700000001,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125,50 kW,500
ABF-00086/87 -> ABF-00087,child_point,child/node/11435879612,no,37.13020325,-8.283564700000001,Helexia II,yes,24/7,Mobi.E,,,,PT,+351 210 181 157,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00094,unassigned_point,node/12138494766,no,37.1039984,-8.2345176,EDP,yes,09:00-21:00,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00095,unassigned_point,node/12282034071,no,37.1941755,-8.2222984,Iberdrola,yes,24/7,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0
ABF-00096,unassigned_point,node/12530077195,no,37.0824268,-8.3124698,Logical Gravity,yes,08:00-21:00,Mobi.E,,,,PT,+351 210 939 606;+351 224 801 080,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00097,unassigned_point,node/13100593913,no,37.0824054,-8.3124299,Logical Gravity,yes,08:00-21:00,Mobi.E,,,,PT,+351 210 939 606;+351 224 801 080,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
ABF-00098,unassigned_point,node/12626403414,no,37.0859053,-8.3092966,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ABF-00109,unassigned_point,node/12824185990,no,37.12645,-8.23918,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ABF-00110/111 -> ABF-00110,child_point,child/node/12856229000,no,37.115542776568134,-8.247696337330819,High Green Power,yes,Tu-Su 11:30-22:30,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0
ABF-00110/111 -> ABF-00111,child_point,child/node/12856228999,no,37.115542776568134,-8.247696337330819,High Green Power,yes,Tu-Su 11:30-22:30,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0
ABF-00112,unassigned_point,node/7995646153,no,37.0952916,-8.2507888,Galp Power,yes,24/7,Mobi.E,,Albufeira,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ABF-00114,unassigned_point,node/12928790852,no,37.1258421,-8.237154,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
ABF-00115,unassigned_point,node/12928790851,no,37.1258534,-8.2372098,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,200,60 kW,1000
ABF-00120,unassigned_point,node/12060091338,no,37.123534,-8.232119,Cepsa,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,400,300 kW,1000
ABF-90007,child_point,child/node/12670330739,no,37.08567581357677,-8.266249849711848,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABT-00001,unassigned_point,node/8109548023,no,39.4595115,-8.1989559,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABT-00006,unassigned_point,node/9788601724,no,39.4755802,-8.1906088,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,90 kW,1000
ABT-00012,unassigned_point,node/12728580828,no,39.4758979,-8.1923368,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABT-00013,unassigned_point,node/10022775163,no,39.4758491,-8.1924349,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABT-00017,unassigned_point,node/10691892690,no,39.4861743,-8.1588029,Cepsa,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,100 kW,1000
ABT-00018,unassigned_point,node/10691892689,no,39.4847784,-8.1552819,Cepsa,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,100 kW,1000
ABT-00019 - Bairro ao Rio,unassigned_point,node/10981449246,no,39.5521854,-8.2805243,SR Energy,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,30,20 kW,400,0,0,0,0,0,0,0,0
ABT-00023,unassigned_point,node/10648560882,no,39.4740735,-8.1928506,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,200,80 kW,500
ABT-00030,unassigned_point,node/12988635323,no,39.4661868,-8.2040164,Atlante,yes,24/7,Mobi.E,Rua Cidade de Parthenay,Abrantes,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ABT-00033,unassigned_point,node/11670188442,no,39.472658,-8.1954159,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
ABT-00034,unassigned_point,node/9870616386,no,39.4661876,-8.2039435,Atlante,yes,24/7,Mobi.E,Rua Cidade de Parthenay,Abrantes,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,60 kW,500
ABT-00035,unassigned_point,node/10827932896,no,39.4716681,-8.1959445,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ABT-00036,unassigned_point,node/12547002705,no,39.4722771,-8.195705,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ABT-00037,unassigned_point,node/12547002704,no,39.472325,-8.1957485,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ABT-00038,unassigned_point,node/8757688907,no,39.4691224,-8.2007093,Galp Power,yes,24/7,Mobi.E,,Abrantes,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
ACB-00001,unassigned_point,node/8089510671,no,39.5519928,-8.975606,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACB-00002,unassigned_point,node/8089512830,no,39.4330442,-8.9802021,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACB-00009,unassigned_point,node/11339406823,no,39.5596832,-8.9780367,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,180 kW,1000
ACB-00010,child_point,child/node/11196066691,no,39.553732089074,-8.969001527552981,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,80 kW,500
ACB-00010,child_point,child/node/12728987155,no,39.553732089074,-8.969001527552981,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,300,120 kW,500
ACB-00011…14 -> ACB-00011,child_point,child/node/11275817612,no,39.548488173694174,-8.977101830945857,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0
ACB-00011…14 -> ACB-00012,child_point,child/node/13028596004,no,39.548488173694174,-8.977101830945857,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0
ACB-00011…14 -> ACB-00013,child_point,child/node/13028596003,no,39.548488173694174,-8.977101830945857,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0
ACB-00011…14 -> ACB-00014,child_point,child/node/13028596002,no,39.548488173694174,-8.977101830945857,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0
ACB-00015,unassigned_point,node/11067830760,no,39.5514509,-8.9779677,Atlante,yes,24/7,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ACB-00017,unassigned_point,node/11308364022,no,39.4105942,-8.962698,InstaVolt,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,75 kW,1000
ACB-00019,unassigned_point,node/11071979373,no,39.5514716,-8.9779717,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACB-00020,unassigned_point,node/12036502409,no,39.5456985,-8.9702655,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,1,125,60 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,120 kW,1000
ACB-00021/22,unassigned_point,node/11947706727,no,39.4979387,-9.0955135,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0,3,250,200 kW,1000
ACB-00024,unassigned_point,node/11955742241,no,39.5083203,-9.1326371,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
ACB-00026,unassigned_point,node/10217456272,no,39.5450815,-8.9698857,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACB-00027,unassigned_point,node/8224722880,no,39.5458059,-8.9695376,Charging Together,yes,24/7,Mobi.E,,Alcobaça,,PT,+351 800 917 576,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,50 kW,1000
ACB-00028,unassigned_point,node/12125506248,no,39.5487884,-8.9759432,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,120 kW,1000
ACB-00029,unassigned_point,node/12651976592,no,39.5487888,-8.9759018,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACB-00030,unassigned_point,node/11931550465,no,39.668071,-8.9998746,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,120 kW,1000
ACB-00031,unassigned_point,node/12294909618,no,39.6680996,-8.9998131,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACB-00032,unassigned_point,node/12434408963,no,39.4622327,-9.1193671,Prio.E,yes,24/7,Mobi.E,,,,PT,+351 800 100 303,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,400,180 kW,1000
ACB-00035,unassigned_point,node/12871879956,no,39.4306829,-8.9775588,SOLX,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ACB-00037,unassigned_point,node/12020159638,no,39.4265496,-8.9800732,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,120 kW,1000
ACB-00038,unassigned_point,node/9848120746,no,39.4331284,-8.9792402,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
ACB-00039,unassigned_point,node/12063966301,no,39.5477842,-8.9670991,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
ACH-00002,unassigned_point,node/7773723046,no,38.7258093,-8.9876448,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ACH-00003,unassigned_point,node/7773747775,no,38.7277184,-8.9871474,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
ACH-00008,unassigned_point,node/9735458931,no,38.74532,-8.9306999,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt,1,80,30 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,80,30 kW,1000
ACH-00010,unassigned_point,node/11017553885,no,38.7500615,-8.9622398,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
ACH-00013,unassigned_point,node/10040504092,no,38.7516866,-8.9451096,Atlante,yes,24/7,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,150,60 kW,500
ACH-00018,unassigned_point,node/11692095474,no,38.7510052,-8.9590354,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,90 kW,1000
ACH-00020/22…29 -> ACH-00020,child_point,child/node/7773790792,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACH-00020/22…29 -> ACH-00022,child_point,child/node/12475638312,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ACH-00020/22…29 -> ACH-00023,child_point,child/node/12475638311,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ACH-00020/22…29 -> ACH-00024,child_point,child/node/12475638310,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ACH-00020/22…29 -> ACH-00025,child_point,child/node/12475638309,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ACH-00020/22…29 -> ACH-00026,child_point,child/node/12475638313,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ACH-00020/22…29 -> ACH-00027,child_point,child/node/12366134731,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ACH-00020/22…29 -> ACH-00028,child_point,child/node/12176539846,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,375,150 kW,500
ACH-00020/22…29 -> ACH-00029,child_point,child/node/12366134732,no,38.75190487107081,-8.942481816402172,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ACH-00021/30…36 -> ACH-00021,child_point,child/node/7773739672,no,38.75124364320459,-8.938888250947826,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACH-00021/30…36 -> ACH-00030,child_point,child/node/12817913284,no,38.75124364320459,-8.938888250947826,Atlante,yes,10:00-22:00,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ACH-00021/30…36 -> ACH-00031,child_point,child/node/12826393048,no,38.75124364320459,-8.938888250947826,Atlante,yes,10:00-22:00,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
ACH-00021/30…36 -> ACH-00032,child_point,child/node/12817913283,no,38.75124364320459,-8.938888250947826,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
ACH-00021/30…36 -> ACH-00033,child_point,child/node/12826393047,no,38.75124364320459,-8.938888250947826,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
ACH-00021/30…36 -> ACH-00034,child_point,child/node/12826393046,no,38.75124364320459,-8.938888250947826,Atlante,yes,10:00-22:00,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
